,dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic,history
139,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,20000,0.539,0.662,0.416,"[{'combined': 0.539, 'polarity': 0.662, 'semantic': 0.416}]"
140,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,20000,0.513,0.637,0.389,"[{'combined': 0.513, 'polarity': 0.637, 'semantic': 0.389}]"
141,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,20000,0.491,0.618,0.364,"[{'combined': 0.491, 'polarity': 0.618, 'semantic': 0.364}]"
142,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,20000,0.553,0.67,0.436,"[{'combined': 0.553, 'polarity': 0.67, 'semantic': 0.436}]"
143,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,20000,0.547,0.665,0.429,"[{'semantic': 0.429, 'combined': 0.547, 'polarity': 0.665}]"
144,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,20000,0.535,0.652,0.417,"[{'semantic': 0.417, 'combined': 0.535, 'polarity': 0.652}]"
145,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,20000,0.514,0.632,0.396,"[{'combined': 0.514, 'polarity': 0.632, 'semantic': 0.396}]"
146,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,20000,0.503,0.62,0.385,"[{'combined': 0.503, 'polarity': 0.62, 'semantic': 0.385}]"
147,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,20000,0.566,0.709,0.422,"[{'combined': 0.566, 'polarity': 0.709, 'semantic': 0.422}]"
148,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,20000,0.566,0.71,0.421,"[{'combined': 0.566, 'polarity': 0.71, 'semantic': 0.421}]"
149,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,20000,0.566,0.711,0.422,"[{'combined': 0.566, 'polarity': 0.711, 'semantic': 0.422}]"
150,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,20000,0.566,0.71,0.422,"[{'semantic': 0.422, 'combined': 0.566, 'polarity': 0.71}]"
151,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,20000,0.573,0.714,0.433,"[{'combined': 0.573, 'polarity': 0.714, 'semantic': 0.433}]"
152,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,20000,0.564,0.702,0.425,"[{'polarity': 0.702, 'semantic': 0.425, 'combined': 0.564}]"
153,sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,20000,0.82,0.793,0.848,"[{'combined': 0.82, 'polarity': 0.793, 'semantic': 0.848}]"
154,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,20000,0.865,0.883,0.847,"[{'polarity': 0.883, 'semantic': 0.847, 'combined': 0.865}]"
155,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,20000,0.865,0.883,0.847,"[{'combined': 0.865, 'polarity': 0.883, 'semantic': 0.847}]"
156,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,20000,0.863,0.88,0.847,"[{'combined': 0.863, 'polarity': 0.88, 'semantic': 0.847}]"
157,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,20000,0.859,0.871,0.846,"[{'combined': 0.859, 'polarity': 0.871, 'semantic': 0.846}]"
158,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,20000,0.848,0.854,0.842,"[{'combined': 0.848, 'polarity': 0.854, 'semantic': 0.842}]"
159,sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,20000,0.862,0.883,0.842,"[{'semantic': 0.842, 'combined': 0.862, 'polarity': 0.883}]"
160,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,20000,0.861,0.88,0.842,"[{'combined': 0.861, 'polarity': 0.88, 'semantic': 0.842}]"
161,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,20000,0.86,0.878,0.842,"[{'semantic': 0.842, 'combined': 0.86, 'polarity': 0.878}]"
162,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,20000,0.853,0.864,0.841,"[{'polarity': 0.864, 'semantic': 0.841, 'combined': 0.853}]"
163,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,20000,0.844,0.849,0.84,"[{'semantic': 0.84, 'combined': 0.844, 'polarity': 0.849}]"
164,sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,20000,0.848,0.87,0.826,"[{'combined': 0.848, 'polarity': 0.87, 'semantic': 0.826}]"
165,sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,20000,0.849,0.872,0.826,"[{'combined': 0.849, 'polarity': 0.872, 'semantic': 0.826}]"
166,sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,20000,0.848,0.87,0.826,"[{'semantic': 0.826, 'combined': 0.848, 'polarity': 0.87}]"
167,sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,TripletLoss,20000,0.857,0.882,0.832,"[{'polarity': 0.882, 'semantic': 0.832, 'combined': 0.857}]"
168,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,TripletLoss,20000,0.868,0.889,0.847,"[{'polarity': 0.889, 'semantic': 0.847, 'combined': 0.868}]"
169,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,TripletLoss,20000,0.862,0.875,0.849,"[{'combined': 0.862, 'polarity': 0.875, 'semantic': 0.849}]"
170,sst2,gte-small,MultipleNegatives(gte-small),,MultipleNegativesRankingLoss,20000,0.824,0.808,0.84,"[{'combined': 0.824, 'polarity': 0.808, 'semantic': 0.84}]"
171,sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,OnlineContrastiveLoss,20000,0.848,0.852,0.844,"[{'combined': 0.848, 'polarity': 0.852, 'semantic': 0.844}]"
172,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,OnlineContrastiveLoss,20000,0.848,0.851,0.844,"[{'combined': 0.848, 'polarity': 0.851, 'semantic': 0.844}]"
173,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,20000,0.847,0.851,0.843,"[{'combined': 0.847, 'polarity': 0.851, 'semantic': 0.843}]"
174,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,20000,0.838,0.838,0.838,"[{'combined': 0.838, 'polarity': 0.838, 'semantic': 0.838}]"
175,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,OnlineContrastiveLoss,20000,0.821,0.81,0.832,"[{'combined': 0.821, 'polarity': 0.81, 'semantic': 0.832}]"
176,sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,ContrastiveLoss,20000,0.849,0.855,0.843,"[{'combined': 0.849, 'polarity': 0.855, 'semantic': 0.843}]"
177,sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,ContrastiveLoss,20000,0.848,0.853,0.844,"[{'combined': 0.848, 'polarity': 0.853, 'semantic': 0.844}]"
178,sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,ContrastiveLoss,20000,0.846,0.85,0.842,"[{'combined': 0.846, 'polarity': 0.85, 'semantic': 0.842}]"
179,sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,ContrastiveLoss,20000,0.836,0.835,0.838,"[{'combined': 0.836, 'polarity': 0.835, 'semantic': 0.838}]"
180,sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,ContrastiveLoss,20000,0.819,0.805,0.832,"[{'combined': 0.819, 'polarity': 0.805, 'semantic': 0.832}]"
181,sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,TripletLoss,20000,0.852,0.874,0.83,"[{'combined': 0.852, 'polarity': 0.874, 'semantic': 0.83}]"
182,sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,TripletLoss,20000,0.852,0.875,0.83,"[{'combined': 0.852, 'polarity': 0.875, 'semantic': 0.83}]"
183,sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,TripletLoss,20000,0.852,0.874,0.83,"[{'combined': 0.852, 'polarity': 0.874, 'semantic': 0.83}]"
184,sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,TripletLoss,20000,0.852,0.874,0.83,"[{'combined': 0.852, 'polarity': 0.874, 'semantic': 0.83}]"
185,sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,TripletLoss,20000,0.855,0.871,0.84,"[{'combined': 0.855, 'polarity': 0.871, 'semantic': 0.84}]"
186,sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,TripletLoss,20000,0.846,0.849,0.843,"[{'combined': 0.846, 'polarity': 0.849, 'semantic': 0.843}]"
187,sst2,gte-base,MultipleNegatives(gte-base),,MultipleNegativesRankingLoss,20000,0.82,0.813,0.827,"[{'combined': 0.82, 'polarity': 0.813, 'semantic': 0.827}]"
188,sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,OnlineContrastiveLoss,20000,0.855,0.876,0.833,"[{'combined': 0.855, 'polarity': 0.876, 'semantic': 0.833}]"
189,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,OnlineContrastiveLoss,20000,0.854,0.876,0.833,"[{'polarity': 0.876, 'semantic': 0.833, 'combined': 0.854}]"
190,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,OnlineContrastiveLoss,20000,0.851,0.872,0.831,"[{'polarity': 0.872, 'semantic': 0.831, 'combined': 0.851}]"
191,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,OnlineContrastiveLoss,20000,0.845,0.866,0.825,"[{'combined': 0.845, 'polarity': 0.866, 'semantic': 0.825}]"
192,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,OnlineContrastiveLoss,20000,0.828,0.837,0.819,"[{'polarity': 0.837, 'semantic': 0.819, 'combined': 0.828}]"
193,sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,ContrastiveLoss,20000,0.855,0.877,0.832,"[{'combined': 0.855, 'polarity': 0.877, 'semantic': 0.832}]"
194,sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,ContrastiveLoss,20000,0.855,0.878,0.832,"[{'combined': 0.855, 'polarity': 0.878, 'semantic': 0.832}]"
195,sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,ContrastiveLoss,20000,0.851,0.873,0.83,"[{'polarity': 0.873, 'semantic': 0.83, 'combined': 0.851}]"
196,sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,ContrastiveLoss,20000,0.842,0.859,0.825,"[{'combined': 0.842, 'polarity': 0.859, 'semantic': 0.825}]"
197,sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,ContrastiveLoss,20000,0.821,0.824,0.819,"[{'combined': 0.821, 'polarity': 0.824, 'semantic': 0.819}]"
198,sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,TripletLoss,20000,0.854,0.891,0.817,"[{'combined': 0.854, 'polarity': 0.891, 'semantic': 0.817}]"
199,sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,TripletLoss,20000,0.854,0.89,0.817,"[{'combined': 0.854, 'polarity': 0.89, 'semantic': 0.817}]"
200,sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,TripletLoss,20000,0.854,0.89,0.818,"[{'semantic': 0.818, 'combined': 0.854, 'polarity': 0.89}]"
201,sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,TripletLoss,20000,0.854,0.892,0.817,"[{'polarity': 0.892, 'semantic': 0.817, 'combined': 0.854}]"
202,sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,TripletLoss,20000,0.858,0.888,0.828,"[{'combined': 0.858, 'polarity': 0.888, 'semantic': 0.828}]"
203,sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,TripletLoss,20000,0.855,0.877,0.832,"[{'combined': 0.855, 'polarity': 0.877, 'semantic': 0.832}]"
204,sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,10000,0.555,0.647,0.462,"[{'combined': 0.555, 'polarity': 0.647, 'semantic': 0.462}]"
205,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,10000,0.55,0.639,0.46,"[{'combined': 0.55, 'polarity': 0.639, 'semantic': 0.46}]"
206,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,10000,0.549,0.639,0.459,"[{'combined': 0.549, 'polarity': 0.639, 'semantic': 0.459}]"
207,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,10000,0.547,0.636,0.458,"[{'combined': 0.547, 'polarity': 0.636, 'semantic': 0.458}]"
208,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,10000,0.546,0.634,0.458,"[{'combined': 0.546, 'polarity': 0.634, 'semantic': 0.458}]"
209,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,10000,0.546,0.635,0.458,"[{'polarity': 0.635, 'semantic': 0.458, 'combined': 0.546}]"
210,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,10000,0.549,0.639,0.46,"[{'combined': 0.549, 'polarity': 0.639, 'semantic': 0.46}]"
211,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,10000,0.547,0.636,0.459,"[{'combined': 0.547, 'polarity': 0.636, 'semantic': 0.459}]"
212,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,10000,0.546,0.634,0.458,"[{'combined': 0.546, 'polarity': 0.634, 'semantic': 0.458}]"
213,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,10000,0.545,0.632,0.457,"[{'combined': 0.545, 'polarity': 0.632, 'semantic': 0.457}]"
214,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,10000,0.545,0.632,0.457,"[{'combined': 0.545, 'polarity': 0.632, 'semantic': 0.457}]"
215,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,10000,0.557,0.651,0.463,"[{'semantic': 0.463, 'combined': 0.557, 'polarity': 0.651}]"
216,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,10000,0.557,0.651,0.463,"[{'polarity': 0.651, 'semantic': 0.463, 'combined': 0.557}]"
217,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,10000,0.557,0.652,0.463,"[{'semantic': 0.463, 'combined': 0.557, 'polarity': 0.652}]"
218,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,10000,0.557,0.651,0.463,"[{'semantic': 0.463, 'combined': 0.557, 'polarity': 0.651}]"
219,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,10000,0.559,0.656,0.463,"[{'combined': 0.559, 'polarity': 0.656, 'semantic': 0.463}]"
220,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,10000,0.559,0.655,0.463,"[{'polarity': 0.655, 'semantic': 0.463, 'combined': 0.559}]"
221,sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,10000,0.837,0.823,0.85,"[{'combined': 0.837, 'polarity': 0.823, 'semantic': 0.85}]"
222,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,10000,0.852,0.849,0.854,"[{'combined': 0.852, 'polarity': 0.849, 'semantic': 0.854}]"
223,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,10000,0.851,0.848,0.854,"[{'semantic': 0.854, 'combined': 0.851, 'polarity': 0.848}]"
224,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,10000,0.849,0.845,0.854,"[{'semantic': 0.854, 'combined': 0.849, 'polarity': 0.845}]"
225,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,10000,0.845,0.836,0.853,"[{'combined': 0.845, 'polarity': 0.836, 'semantic': 0.853}]"
226,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,10000,0.832,0.813,0.851,"[{'combined': 0.832, 'polarity': 0.813, 'semantic': 0.851}]"
227,sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,10000,0.852,0.851,0.854,"[{'semantic': 0.854, 'combined': 0.852, 'polarity': 0.851}]"
228,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,10000,0.852,0.851,0.854,"[{'semantic': 0.854, 'combined': 0.852, 'polarity': 0.851}]"
229,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,10000,0.849,0.845,0.854,"[{'semantic': 0.854, 'combined': 0.849, 'polarity': 0.845}]"
230,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,10000,0.843,0.833,0.853,"[{'combined': 0.843, 'polarity': 0.833, 'semantic': 0.853}]"
231,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,10000,0.831,0.812,0.851,"[{'polarity': 0.812, 'semantic': 0.851, 'combined': 0.831}]"
232,sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,10000,0.862,0.872,0.851,"[{'combined': 0.862, 'polarity': 0.872, 'semantic': 0.851}]"
233,sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,10000,0.862,0.872,0.851,"[{'combined': 0.862, 'polarity': 0.872, 'semantic': 0.851}]"
234,sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,10000,0.862,0.873,0.851,"[{'combined': 0.862, 'polarity': 0.873, 'semantic': 0.851}]"
235,sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,TripletLoss,10000,0.862,0.872,0.851,"[{'combined': 0.862, 'polarity': 0.872, 'semantic': 0.851}]"
236,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,TripletLoss,10000,0.859,0.866,0.852,"[{'combined': 0.859, 'polarity': 0.866, 'semantic': 0.852}]"
237,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,TripletLoss,10000,0.848,0.843,0.854,"[{'combined': 0.848, 'polarity': 0.843, 'semantic': 0.854}]"
238,sst2,gte-small,MultipleNegatives(gte-small),,MultipleNegativesRankingLoss,10000,0.822,0.798,0.847,"[{'combined': 0.822, 'polarity': 0.798, 'semantic': 0.847}]"
239,sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,OnlineContrastiveLoss,10000,0.824,0.8,0.848,"[{'combined': 0.824, 'polarity': 0.8, 'semantic': 0.848}]"
240,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,OnlineContrastiveLoss,10000,0.824,0.801,0.848,"[{'combined': 0.824, 'polarity': 0.801, 'semantic': 0.848}]"
241,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,10000,0.823,0.799,0.848,"[{'combined': 0.823, 'polarity': 0.799, 'semantic': 0.848}]"
242,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,10000,0.82,0.793,0.847,"[{'combined': 0.82, 'polarity': 0.793, 'semantic': 0.847}]"
243,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,OnlineContrastiveLoss,10000,0.817,0.787,0.846,"[{'combined': 0.817, 'polarity': 0.787, 'semantic': 0.846}]"
244,sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,ContrastiveLoss,10000,0.824,0.801,0.848,"[{'combined': 0.824, 'polarity': 0.801, 'semantic': 0.848}]"
245,sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,ContrastiveLoss,10000,0.824,0.801,0.848,"[{'polarity': 0.801, 'semantic': 0.848, 'combined': 0.824}]"
246,sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,ContrastiveLoss,10000,0.823,0.799,0.848,"[{'combined': 0.823, 'polarity': 0.799, 'semantic': 0.848}]"
247,sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,ContrastiveLoss,10000,0.819,0.792,0.847,"[{'polarity': 0.792, 'semantic': 0.847, 'combined': 0.819}]"
248,sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,ContrastiveLoss,10000,0.816,0.786,0.846,"[{'combined': 0.816, 'polarity': 0.786, 'semantic': 0.846}]"
249,sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,TripletLoss,10000,0.831,0.816,0.847,"[{'semantic': 0.847, 'combined': 0.831, 'polarity': 0.816}]"
250,sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,TripletLoss,10000,0.831,0.816,0.847,"[{'combined': 0.831, 'polarity': 0.816, 'semantic': 0.847}]"
251,sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,TripletLoss,10000,0.831,0.815,0.847,"[{'semantic': 0.847, 'combined': 0.831, 'polarity': 0.815}]"
252,sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,TripletLoss,10000,0.831,0.815,0.847,"[{'combined': 0.831, 'polarity': 0.815, 'semantic': 0.847}]"
253,sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,TripletLoss,10000,0.831,0.815,0.848,"[{'combined': 0.831, 'polarity': 0.815, 'semantic': 0.848}]"
254,sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,TripletLoss,10000,0.826,0.805,0.848,"[{'combined': 0.826, 'polarity': 0.805, 'semantic': 0.848}]"
255,sst2,gte-base,MultipleNegatives(gte-base),,MultipleNegativesRankingLoss,10000,0.826,0.817,0.835,"[{'combined': 0.826, 'polarity': 0.817, 'semantic': 0.835}]"
256,sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,OnlineContrastiveLoss,10000,0.832,0.827,0.837,"[{'polarity': 0.827, 'semantic': 0.837, 'combined': 0.832}]"
257,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,OnlineContrastiveLoss,10000,0.832,0.827,0.837,"[{'combined': 0.832, 'polarity': 0.827, 'semantic': 0.837}]"
258,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,OnlineContrastiveLoss,10000,0.832,0.828,0.836,"[{'combined': 0.832, 'polarity': 0.828, 'semantic': 0.836}]"
259,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,OnlineContrastiveLoss,10000,0.828,0.82,0.836,"[{'polarity': 0.82, 'semantic': 0.836, 'combined': 0.828}]"
260,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,OnlineContrastiveLoss,10000,0.823,0.812,0.835,"[{'polarity': 0.812, 'semantic': 0.835, 'combined': 0.823}]"
261,sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,ContrastiveLoss,10000,0.832,0.827,0.837,"[{'semantic': 0.837, 'combined': 0.832, 'polarity': 0.827}]"
262,sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,ContrastiveLoss,10000,0.831,0.826,0.837,"[{'combined': 0.831, 'polarity': 0.826, 'semantic': 0.837}]"
263,sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,ContrastiveLoss,10000,0.832,0.828,0.836,"[{'combined': 0.832, 'polarity': 0.828, 'semantic': 0.836}]"
264,sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,ContrastiveLoss,10000,0.828,0.82,0.835,"[{'combined': 0.828, 'polarity': 0.82, 'semantic': 0.835}]"
265,sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,ContrastiveLoss,10000,0.823,0.811,0.835,"[{'combined': 0.823, 'polarity': 0.811, 'semantic': 0.835}]"
266,sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,TripletLoss,10000,0.84,0.844,0.836,"[{'polarity': 0.844, 'semantic': 0.836, 'combined': 0.84}]"
267,sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,TripletLoss,10000,0.84,0.844,0.836,"[{'combined': 0.84, 'polarity': 0.844, 'semantic': 0.836}]"
268,sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,TripletLoss,10000,0.84,0.844,0.836,"[{'semantic': 0.836, 'combined': 0.84, 'polarity': 0.844}]"
269,sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,TripletLoss,10000,0.84,0.844,0.836,"[{'combined': 0.84, 'polarity': 0.844, 'semantic': 0.836}]"
270,sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,TripletLoss,10000,0.84,0.843,0.836,"[{'combined': 0.84, 'polarity': 0.843, 'semantic': 0.836}]"
271,sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,TripletLoss,10000,0.836,0.835,0.837,"[{'polarity': 0.835, 'semantic': 0.837, 'combined': 0.836}]"
272,sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,5000,0.55,0.635,0.466,"[{'combined': 0.55, 'polarity': 0.635, 'semantic': 0.466}]"
273,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,5000,0.549,0.633,0.466,"[{'polarity': 0.633, 'semantic': 0.466, 'combined': 0.549}]"
274,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,5000,0.548,0.631,0.465,"[{'combined': 0.548, 'polarity': 0.631, 'semantic': 0.465}]"
275,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,5000,0.548,0.631,0.465,"[{'combined': 0.548, 'polarity': 0.631, 'semantic': 0.465}]"
276,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,5000,0.548,0.631,0.465,"[{'combined': 0.548, 'polarity': 0.631, 'semantic': 0.465}]"
277,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,5000,0.548,0.631,0.465,"[{'polarity': 0.631, 'semantic': 0.465, 'combined': 0.548}]"
